t,x,y,radians
0,0.0,-0.00098,0.0
0.01,0.0,-0.002750102009773254,0.0
0.02,0.0,-0.005123918800354003,-0.0003762852191925049
0.03,8.542575821850122e-08,-0.008250711647847127,-0.0009795943975448608
0.04,4.828901822778548e-07,-0.012038965958562586,-0.001901442265510559
0.05,1.3465940251420699e-06,-0.016562017527460365,-0.0030684933185577395
0.060000000000000005,3.10856561737502e-06,-0.021772330987829186,-0.004528283858299256
0.07,6.0145753844929304e-06,-0.027710003405578436,-0.0062407180309295655
0.08,1.0658782622149943e-05,-0.0343491542018955,-0.008231679248809815
0.09,1.739798260269861e-05,-0.041713807056775076,-0.010477147030830384
0.09999999999999999,2.6957809178379283e-05,-0.04978925271443041,-0.012991836786270142
0.10999999999999999,3.997019486916357e-05,-0.058578964979669114,-0.015747776079177857
0.11999999999999998,5.729396910277944e-05,-0.06807492226401447,-0.018735145378112793
0.12999999999999998,7.989730812798584e-05,-0.07826911247628582,-0.021927265071868898
0.13999999999999999,0.00010885550308339578,-0.0891535338827047,-0.025299278473854065
0.15,0.0001453484085797539,-0.10072019569329665,-0.028828015506267547
0.16,0.00019065759582787505,-0.11296111882602568,-0.03249186983108521
0.17,0.0002461632464343645,-0.12586833656260787,-0.036270688056945805
0.18000000000000002,0.00031334080952043143,-0.1394338952880817,-0.04014566931724549
0.19000000000000003,0.00039375745654118697,-0.1536498550548238,-0.04409927396774292
0.20000000000000004,0.0004890683491020985,-0.16850829023727487,-0.04811514019966126
0.21000000000000005,0.0006010127407249067,-0.1840012902588859,-0.052178007864952095
0.22000000000000006,0.0007314099434095278,-0.20012096015970213,-0.056273648595809946
0.23000000000000007,0.0008821551664567342,-0.21685942126239846,-0.06038880145549775
0.24000000000000007,0.0010552152503021778,-0.23420881181452108,-0.0645111136674881
0.25000000000000006,0.0012526243121503075,-0.2521612876047853,-0.06862908582687378
0.26000000000000006,0.0014764793215254588,-0.270709022516505,-0.0727320212006569
0.2700000000000001,0.0017289356089799338,-0.28984420918424214,-0.0768099785923958
0.2800000000000001,0.0020122023317131754,-0.3095590595874164,-0.08085372855663302
0.2900000000000001,0.0023285379095738194,-0.32984580558193977,-0.08485471267700198
0.3000000000000001,0.002680245431949223,-0.350696699514098,-0.08880500540733341
0.3100000000000001,0.0030696680539738434,-0.37210401481180266,-0.09269727863073353
0.3200000000000001,0.0034991843935838654,-0.39406004654399446,-0.09652476832866673
0.3300000000000001,0.003971203943896186,-0.41655711190382405,-0.10028124340772633
0.34000000000000014,0.00448816248597938,-0.43958755086823803,-0.10396097633838658
0.35000000000000014,0.005052517543937246,-0.46314372668165704,-0.10755871572494512
0.36000000000000015,0.005666743874031418,-0.4872180263458402,-0.11106966038942342
0.37000000000000016,0.006333328982944447,-0.5118028612267498,-0.11448943490982061
0.38000000000000017,0.007054768717953506,-0.5368906674509528,-0.11781406666040425
0.3900000000000002,0.007833562889852763,-0.5624739065108071,-0.12103996403217321
0.4000000000000002,0.008672210964104051,-0.588545065810435,-0.12416389596462254
0.4100000000000002,0.009573207841529138,-0.615096659038952,-0.1271829724311829
0.4200000000000002,0.010539039703021667,-0.6421212266360781,-0.1300946260929108
0.4300000000000002,0.011572179909239137,-0.669611336449161,-0.13289659488201144
0.4400000000000002,0.012675085037577817,-0.6975595839832577,-0.13558690545558932
0.45000000000000023,0.013850190948574108,-0.7259585931117971,-0.1381638575077057
0.46000000000000024,0.015099909020541738,-0.7548010162360048,-0.1406260088682175
0.47000000000000025,0.016426622402587736,-0.7840795350315003,-0.14297216134071353
0.48000000000000026,0.01783268244502064,-0.8137868606525127,-0.14520134727954867
0.49000000000000027,0.019320405181907155,-0.843915734318713,-0.14731281673908236
0.5000000000000002,0.020892067962021036,-0.8744589276275606,-0.14930602538585666
0.5100000000000002,0.02254990615899236,-0.905409243091394,-0.15118062276840213
0.5200000000000002,0.02429611002501713,-0.9367595144781509,-0.15293644137382512
0.5300000000000002,0.026132821655500002,-0.9685026071949245,-0.1545734861373902
0.5400000000000003,0.028062132069396742,-1.0006314186938083,-0.15609192428588872
0.5500000000000003,0.03008607840253452,-1.033138878926387,-0.1574920758247376
0.5600000000000003,0.03220664124078414,-1.0660179506846204,-0.1587744044542313
0.5700000000000003,0.03442574208712639,-1.0992616298777302,-0.15993950886726382
0.5800000000000003,0.036745240910293554,-1.1328629460768285,-0.16098811442852023
0.5900000000000003,0.03916693385399573,-1.1668149628347702,-0.16192106530666356
0.6000000000000003,0.04169255108117292,-1.2011107779478458,-0.16273931689262394
0.6100000000000003,0.04432375472238976,-1.235743523849033,-0.16344392859935764
0.6200000000000003,0.047062136958484456,-1.2707063679457669,-0.16403605704307558
0.6300000000000003,0.04990921822938072,-1.3059925129503442,-0.16451694941520692
0.6400000000000003,0.0528664455643814,-1.3415951972272897,-0.16488793725967407
0.6500000000000004,0.05593519104082958,-1.3775076951112446,-0.16515043051242828
0.6600000000000004,0.059116750362264506,-1.413723317242829,-0.16530591180324555
0.6700000000000004,0.06241234157440583,-1.4502354108050952,-0.1653559310436249
0.6800000000000004,0.06582310387836528,-1.4870373598957698,-0.1653021003007889
0.6900000000000004,0.06935009658267914,-1.5241225857764409,-0.16514608874320985
0.7000000000000004,0.07299429816884583,-1.5614845471394554,-0.16488961803913119
0.7100000000000004,0.0767566054607695,-1.5991167404390847,-0.1645344578266144
0.7200000000000004,0.08063783292747684,-1.6370127000981805,-0.1640824214458466
0.7300000000000004,0.08463871207010062,-1.675165998871768,-0.1635353619337082
0.7400000000000004,0.08875989094186208,-1.7135702480609376,-0.16289516811370852
0.7500000000000004,0.0930019337713444,-1.7522190977406293,-0.16216376090049747
0.7600000000000005,0.09736532069445093,-1.7911062369531263,-0.1613430897712708
0.7700000000000005,0.10185044755036174,-1.8302253941248565,-0.16043512952327732
0.7800000000000005,0.10645762582768839,-1.8695703371640373,-0.15944187700748447
0.7900000000000005,0.11118708267355686,-1.909134873755394,-0.15836534817218784
0.8000000000000005,0.11603896102047273,-1.9489128514974985,-0.15720757520198825
0.8100000000000005,0.12101331977528645,-1.988898158210743,-0.15597060379981997
0.8200000000000005,0.12611013413160946,-2.0290847220141406,-0.15465649054050448
0.8300000000000005,0.13132929591341927,-2.0694665117344826,-0.1532673005819321
0.8400000000000005,0.13667061406966746,-2.1100375368690125,-0.15180510518550877
0.8500000000000005,0.14213381517700377,-2.1507918479950163,-0.15027197957038885
0.8600000000000005,0.14771854407619578,-2.1917235368000902,-0.14867000088691718
0.8700000000000006,0.15342436454141034,-2.232826736367581,-0.14700124623775487
0.8800000000000006,0.15925076004460315,-2.2740956212912824,-0.1452677907943726
0.8900000000000006,0.16519713458336405,-2.315524407806204,-0.14347170600891118
0.9000000000000006,0.17126281355607062,-2.3571073540281215,-0.1416150580167771
0.9100000000000006,0.17744704471310568,-2.398838760087968,-0.1396999060630799
0.9200000000000006,0.18374899918395152,-2.440712968135659,-0.1377283009767533
0.9300000000000006,0.1901677725010244,-2.4827243627547135,-0.13570228381156926
0.9400000000000006,0.1967023857380025,-2.5248673709362297,-0.1336238845586777
0.9500000000000006,0.20335178666367915,-2.567136462295295,-0.13149512090682988
0.9600000000000006,0.2101148509739581,-2.609526149055924,-0.12931799705028538
0.9700000000000006,0.21699038352948977,-2.65203098632285,-0.12709450268745426
0.9800000000000006,0.2239771196663238,-2.6946455721188602,-0.12482661187648776
0.9900000000000007,0.23107372652712624,-2.7373645475644324,-0.12251628222465519
1.0000000000000007,0.2382788044649334,-2.780182596772612,-0.12016545388698581
1.0100000000000007,0.24559088841097831,-2.823094447309537,-0.11777604875564579
1.0200000000000007,0.2530084493624613,-2.8660948699416338,-0.11534996969699864
1.0300000000000007,0.26052989583700975,-2.909178678898822,-0.11288909983634952
1.0400000000000007,0.2681535753893761,-2.952340731847869,-0.11039530193805698
1.0500000000000007,0.27587777612187664,-2.995575930143127,-0.10787041769027714
1.0600000000000007,0.28370072824653253,-3.038879218832544,-0.10531626713275913
1.0700000000000007,0.29162060566893744,-3.0822455866547394,-0.10273464818000796
1.0800000000000007,0.2996355275773088,-3.125670066168526,-0.10012733609676364
1.0900000000000007,0.3077435600557322,-3.169147733824433,-0.09749608302116397
1.1000000000000008,0.31594271770986226,-3.212673710072253,-0.09484261763095858
1.1100000000000008,0.32423096533561396,-3.256243159171659,-0.09216864461898806
1.1200000000000008,0.33260621955494846,-3.299851289464507,-0.08947584445476535
1.1300000000000008,0.34106635050018963,-3.3434933532539177,-0.08676587305068972
1.1400000000000008,0.349609183478101,-3.387164647001644,-0.08404036147594454
1.1500000000000008,0.3582325006606291,-3.4308605113209114,-0.08130091567039492
1.1600000000000008,0.3669340427787568,-3.4745763310016486,-0.07854911620616915
1.1700000000000008,0.37571151083726334,-3.51830753483005,-0.07578651814460757
1.1800000000000008,0.3845625677957668,-3.562049595867538,-0.07301465079784396
1.1900000000000008,0.39348484028718017,-3.6057980312857163,-0.07023501753807071
1.2000000000000008,0.40247592030595275,-3.6495484026127745,-0.0674490958452225
1.2100000000000009,0.41153336694152926,-3.6932963153448757,-0.06465833692550663
1.2200000000000009,0.4206547080605176,-3.7370374192540887,-0.061864165759086646
1.2300000000000009,0.429837442005293,-3.78076740844153,-0.059067981100082434
1.2400000000000009,0.43907903931013675,-3.8244820210401853,-0.056271155238151585
1.2500000000000009,0.4483769443859066,-3.8681770393287955,-0.05347503409385685
1.260000000000001,0.4577285772061784,-3.9118482897333657,-0.050680937123298686
1.270000000000001,0.4671313349850267,-3.955491642859092,-0.04789015736579899
1.280000000000001,0.47658259385970936,-3.9991030132670193,-0.04510396134853367
1.290000000000001,0.4860797105436184,-4.042678359662238,-0.042323589229583784
1.300000000000001,0.49562002398275323,-4.086213684827051,-0.0395502547025681
1.310000000000001,0.5052008570093338,-4.129705035346744,-0.03678514509201054
1.320000000000001,0.5148195179626474,-4.173148501842823,-0.03402942140102391
1.330000000000001,0.5244733023158218,-4.216540218761081,-0.0312842184066773
1.340000000000001,0.5341594942793121,-4.259876364429422,-0.028550644659996086
1.350000000000001,0.5438753683935479,-4.303153161052186,-0.025829782629013115
1.360000000000001,0.5536181911141692,-4.346366874450581,-0.023122688794136103
1.370000000000001,0.5633852223747232,-4.389513814026147,-0.020430393695831356
1.380000000000001,0.5731737171320852,-4.432590332804668,-0.017753902077674924
1.390000000000001,0.5829809268993301,-4.475592827322516,-0.015094192981720031
1.400000000000001,0.5928041012597292,-4.518517737594174,-0.012452219939231934
1.410000000000001,0.602640489364231,-4.5613615470183,-0.009828911018371645
1.420000000000001,0.6124873414109779,-4.604120782222734,-0.00722516901493079
1.430000000000001,0.6223419101042116,-4.646792013039617,-0.0046418715953827575
1.440000000000001,0.6322014520948616,-4.689371852372644,-0.0020798714399338455
1.450000000000001,0.6420632294006265,-4.731856956099959,0.0004600035667418731
1.460000000000001,0.651924510805599,-4.774244023060838,0.002976950240135121
1.470000000000001,0.661782573239255,-4.816529794888229,0.005470189857482837
1.480000000000001,0.671634703134338,-4.858711056021399,0.007938968014717027
1.490000000000001,0.6814781977612626,-4.900784633374674,0.010382554435729904
1.500000000000001,0.6913103665418512,-4.942747396378029,0.01280024278163902
1.5100000000000011,0.7011285323410906,-4.984596256960846,0.015191350412368694
1.5200000000000011,0.7109300327329862,-5.026328169288666,0.017555218291282572
1.5300000000000011,0.7207122212446491,-5.067940129682552,0.019891210699081337
1.5400000000000011,0.7304724685748698,-5.10942917643551,0.02219871504306785
1.5500000000000012,0.7402081637898894,-5.150792389717186,0.02447714166641227
1.5600000000000012,0.7499167154982487,-5.192026891615002,0.026725923609733495
1.5700000000000012,0.7595955529907045,-5.233129845740206,0.028944516420364292
1.5800000000000012,0.7692421273676494,-5.274098457352741,0.03113239791393271
1.5900000000000012,0.7788539126283989,-5.314929973004414,0.03328906793594351
1.6000000000000012,0.7884284067454298,-5.355621680558855,0.03541404812335958
1.6100000000000012,0.7979631327021234,-5.396170908873826,0.03750688171386709
1.6200000000000012,0.807455639513434,-5.436575027765961,0.03956713325977315
1.6300000000000012,0.8169035032191304,-5.476831447924777,0.041594388389587296
1.6400000000000012,0.8263043278508838,-5.516937620824112,0.04358825356960286
1.6500000000000012,0.8356557463563892,-5.556891038250342,0.0455483558654784
1.6600000000000013,0.8449554215200338,-5.596689232400713,0.04747434270381916
1.6700000000000013,0.8542010468448593,-5.63632977569464,0.04936588163375843
1.6800000000000013,0.8633903474070276,-5.675810280584308,0.051222659993171576
1.6900000000000013,0.8725210806852499,-5.715128399412638,0.053044384717941165
1.7000000000000013,0.8815910373604322,-5.754281824223784,0.05483078200817096
1.7100000000000013,0.8905980420877586,-5.793268286574212,0.056581597185134766
1.7200000000000013,0.8995399542491546,-5.832085557487595,0.0582965943098067
1.7300000000000013,0.9084146686624905,-5.870731447125419,0.05997555599212634
1.7400000000000013,0.9172201162764526,-5.909203804697393,0.0616182830572127
1.7500000000000013,0.9259542648326479,-5.947500518278772,0.06322459430694567
1.7600000000000013,0.9346151194971808,-5.985619514582565,0.0647943262338637
1.7700000000000014,0.9432007234830285,-6.0235587590201005,0.06632733273506151
1.7800000000000014,0.9517091586054788,-6.06131625514611,0.06782348487377153
1.7900000000000014,0.9601385458435366,-6.098890044630755,0.06928267059326158
1.8000000000000014,0.9684870458717786,-6.136278207187781,0.07070479438304887
1.8100000000000014,0.976752859552357,-6.173478860316428,0.07208977704048143
1.8200000000000014,0.9849342283962084,-6.210490159000134,0.07343755538463578
1.8300000000000014,0.9930294350178397,-6.247310295695192,0.0747480819702147
1.8400000000000014,1.0010368035359454,-6.283937499943764,0.07602132480144486
1.8500000000000014,1.0089546999755163,-6.320370038372391,0.07725726704597458
1.8600000000000014,1.0167815326188818,-6.356606214362904,0.07845590679645523
1.8700000000000014,1.0245157523486428,-6.39264436796654,0.07961725668907149
1.8800000000000014,1.0321558529425687,-6.42848287553847,0.08074134371280653
1.8900000000000015,1.039700371365114,-6.464120149663375,0.08182820882797223
1.9000000000000015,1.0471478880263687,-6.4995546389919,0.08287790677547437
1.9100000000000015,1.054497027008071,-6.53478482798817,0.08389050569534283
1.9200000000000015,1.0617464562645882,-6.569809236683558,0.08486608693599682
1.9300000000000015,1.0688948877869549,-6.6046264202942915,0.08580474472045879
1.9400000000000015,1.0759410777950718,-6.639234969463158,0.08670658586025219
1.9500000000000015,1.082883826829112,-6.673633509605024,0.08757172951698285
1.9600000000000015,1.0897219798781441,-6.707820700971608,0.08840030682086926
1.9700000000000015,1.0964544264611442,-6.741795238437841,0.08919246068000775
1.9800000000000015,1.1030801006594222,-6.775555851009968,0.08994834549427014
1.9900000000000015,1.1095979811725702,-6.80910130186287,0.09066812682151776
2.0000000000000013,1.1160070913226405,-6.842430388051646,0.09135198109149914
2.010000000000001,1.1223064990492155,-6.875541940372433,0.09200009536743145
2.020000000000001,1.1284953168567744,-6.908434822945066,0.0926126671075819
2.0300000000000007,1.134572701775544,-6.94110793318236,0.09318990383148174
2.0400000000000005,1.140537855279793,-6.973560201528689,0.09373202283382395
2.0500000000000003,1.1463900231811315,-7.005790591157745,0.09423925094604471
2.06,1.1521284955195268,-7.037798097866849,0.09471182429790476
2.07,1.1577526064168109,-7.069581749787914,0.0951499879837034
2.0799999999999996,1.163261733897263,-7.10114060696251,0.09555399587154367
2.0899999999999994,1.1686552997481288,-7.13247376154045,0.0959241102695463
2.099999999999999,1.1739327692893586,-7.163580337225206,0.09626060168743111
2.109999999999999,1.1790936511615462,-7.194459489105305,0.09656374859809853
2.1199999999999988,1.1841374971055778,-7.225110403586789,0.09683383710384347
2.1299999999999986,1.189063901688537,-7.2555322979519765,0.09707116079330422
2.1399999999999983,1.1938725020357455,-7.285724420161467,0.09727602045536018
2.149999999999998,1.1985629775512159,-7.315686048709373,0.09744872384071328
2.159999999999998,1.203135049613059,-7.345416492389295,0.09758958532810189
2.1699999999999977,1.2075884812443065,-7.374915089970881,0.09769892578124977
2.1799999999999975,1.2119230767873275,-7.404181210071602,0.09777707231044745
2.1899999999999973,1.2161386815451485,-7.433214250843926,0.09782435793876623
2.199999999999997,1.2202351814181063,-7.462013639762475,0.09784112145900702
2.209999999999997,1.22421250253154,-7.490578833463565,0.09782770714759802
2.2199999999999966,1.2280706108177675,-7.518909317257306,0.09778446462154364
2.2299999999999964,1.2318095116504963,-7.5470046053086906,0.09771174850463843
2.239999999999996,1.235429249387869,-7.574864240016367,0.09760991823673223
2.249999999999996,1.2389299069549482,-7.602487791917671,0.09747933793067907
2.259999999999996,1.2423116054100722,-7.629874859550321,0.0973203760862348
2.2699999999999956,1.2455745034677943,-7.657025068985816,0.09713340535163854
2.2799999999999954,1.2487187970577711,-7.683938073841162,0.09691880238056158
2.289999999999995,1.251744718831834,-7.710613554867038,0.09667694764137243
2.299999999999995,1.2546525376799331,-7.737051219729196,0.0964082251310346
2.3099999999999947,1.257442558241502,-7.763250802840536,0.09611302223205541
2.3199999999999945,1.2601151203942162,-7.789212065053835,0.09579172952175115
